#inicio de logs de la API2025-05-29 21:58:48,443 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-29 22:04:25,089 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-29 22:13:40,529 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-29 22:37:53,687 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 12:09:27,846 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 13:22:02,258 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 14:00:38,575 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 14:07:20,697 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 14:13:50,440 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 14:19:01,993 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 14:21:06,407 - botocore.credentials - INFO - Found credentials in environment variables.
2025-05-31 14:31:09,754 - botocore.credentials - INFO - Found credentials in environment variables.
